op,bits,time(s)
equal,4,0
is_negative,4,0
minimum,4,1
maximum,4,1
sum,4,1
negativo,4,0
resta,4,1
multiply,4,5
multiply_float,4,12
mayor_igual,4,1
shiftl,4,1
shiftr,4,1
u_shiftl,4,0
u_shiftr,4,0
porDiez,4,6
entreDiez,4,15
reescala-+,4,0
reescala+-,4,0
divide,4,15
divide_float,4,57
equal,8,0
is_negative,8,0
minimum,8,2
maximum,8,2
sum,8,1
negativo,8,1
resta,8,2
multiply,8,12
multiply_float,8,37
mayor_igual,8,0
shiftl,8,3
shiftr,8,3
u_shiftl,8,0
u_shiftr,8,0
porDiez,8,10
entreDiez,8,33
reescala-+,8,0
reescala+-,8,0
divide,8,57
divide_float,8,211
equal,16,1
is_negative,16,0
minimum,16,4
maximum,16,3
sum,16,2
negativo,16,3
resta,16,4
multiply,16,31
multiply_float,16,110
mayor_igual,16,2
shiftl,16,4
shiftr,16,6
u_shiftl,16,0
u_shiftr,16,0
porDiez,16,21
entreDiez,16,72
reescala-+,16,0
reescala+-,16,0
divide,16,211
divide_float,16,801
equal,32,2
is_negative,32,0
minimum,32,7
maximum,32,7
sum,32,4
negativo,32,4
resta,32,8
multiply,32,93
multiply_float,32,345
mayor_igual,32,2
shiftl,32,10
shiftr,32,11
u_shiftl,32,0
u_shiftr,32,0
porDiez,32,41
entreDiez,32,142
reescala-+,32,0
reescala+-,32,0
divide,32,812
divide_float,32,3108
equal,64,3
is_negative,64,0
minimum,64,14
maximum,64,15
sum,64,8
negativo,64,8
resta,64,16
multiply,64,330
multiply_float,64,1257
mayor_igual,64,4
shiftl,64,19
shiftr,64,22
u_shiftl,64,0
u_shiftr,64,0
porDiez,64,82
entreDiez,64,294
reescala-+,64,0
reescala+-,64,0
divide,64,3076
divide_float,64,11662

